Iteration,Year,Site
48,1976,"Dorothy Chandler Pavilion, Los Angeles, California, U.S."
49,1977,"Dorothy Chandler PavilionLos Angeles, California, U.S."
50,1978,"Dorothy Chandler Pavilion, Los Angeles, California, U.S."
51,1979,"Dorothy Chandler PavilionLos Angeles, California, U.S."
52,1980,"Dorothy Chandler PavilionLos Angeles, California, U.S."
53,1981,"Dorothy Chandler PavilionLos Angeles, California, U.S."
54,1982,"Dorothy Chandler PavilionLos Angeles, California, U.S."
55,1983,"Dorothy Chandler PavilionLos Angeles, California, U.S."
56,1984,"Dorothy Chandler PavilionLos Angeles, California, U.S."
57,1985,"Dorothy Chandler PavilionLos Angeles, California, U.S."
58,1986,"Dorothy Chandler PavilionLos Angeles, California, U.S."
59,1987,"Dorothy Chandler PavilionLos Angeles, California, U.S."
60,1988,"Shrine AuditoriumLos Angeles, California"
61,1989,"Shrine AuditoriumLos Angeles, California, U.S."
62,1990,"Dorothy Chandler PavilionLos Angeles, California, U.S."
63,1991,"Shrine AuditoriumLos Angeles, California, U.S."
64,1992,"Dorothy Chandler PavilionLos Angeles, California, U.S."
65,1993,"Dorothy Chandler PavilionLos Angeles, California, U.S."
66,1994,"Dorothy Chandler PavilionLos Angeles, California, U.S."
67,1995,"Shrine AuditoriumLos Angeles, California, U.S."
68,1996,"Dorothy Chandler Pavilion, Los Angeles, California, U.S."
69,1997,"Shrine Auditorium, Los Angeles, California, U.S."
70,1998,"Shrine AuditoriumLos Angeles, California, U.S."
71,1999,"Dorothy Chandler PavilionLos Angeles, California, U.S."
72,2000,"Shrine AuditoriumLos Angeles, California, U.S."
73,2001,"Shrine Auditorium Los Angeles, California, U.S."
74,2002,"Kodak TheatreHollywood, Los Angeles, California, U.S."
75,2003,"Kodak TheatreHollywood, Los Angeles, California, U.S."
76,2004,"Kodak TheatreHollywood, Los Angeles, California, U.S."
77,2005,"Kodak TheatreHollywood, Los Angeles, California, U.S."
78,2006,"Kodak TheatreHollywood, Los Angeles, California, U.S."
79,2007,"Kodak TheatreHollywood, Los Angeles, California, U.S."
80,2008,"
Kodak Theatre
Hollywood, Los Angeles, California, U.S.
"
81,2009,"Kodak TheatreHollywood, Los Angeles, California, United States"
82,2010,"Kodak TheatreHollywood, Los Angeles, California, U.S."
83,2011,"Kodak TheatreHollywood, Los Angeles, California, U.S."
84,2012,"Hollywood and Highland Center TheatreHollywood, Los Angeles, California, U.S."
85,2013,"Dolby TheatreHollywood, Los Angeles, United States"
86,2014,"Dolby TheatreHollywood, Los Angeles, California, U.S."
87,2015,"Dolby TheatreHollywood, Los Angeles, California, U.S."
88,2016,"Dolby TheatreHollywood, Los Angeles, California, U.S."
89,2017,"Dolby TheatreHollywood, Los Angeles, California, U.S."
90,2018,"Dolby TheatreHollywood, Los Angeles, California, U.S."
91,2019,"Dolby TheatreHollywood, Los Angeles, California, U.S."
92,2020,"Dolby TheatreLos Angeles, California, U.S."
93,2021,"Union StationLos Angeles, California, U.S."
94,2022,"Dolby TheatreHollywood, Los Angeles, California, U.S."
95,2023,"Dolby TheatreHollywood, Los Angeles, California, U.S."
96,2024,"Dolby TheatreHollywood, Los Angeles, California, U.S."
